<http://www.yso.fi/onto/yso/p21539>	viestintätutkimus
<http://www.yso.fi/onto/yso/p2494>	puheviestintä
<http://www.yso.fi/onto/yso/p70>	koulukiusaaminen
<http://www.yso.fi/onto/yso/p21292>	yläkoulu
<http://www.yso.fi/onto/yso/p6914>	kouluikäiset
<http://www.yso.fi/onto/yso/p26335>	vertaissuhteet
<http://www.yso.fi/onto/yso/p3483>	aggressiot
<http://www.yso.fi/onto/yso/p5385>	sukupuolinen häirintä
<http://www.yso.fi/onto/yso/p71>	kiusaaminen
<http://www.yso.fi/onto/yso/p10591>	vuorovaikutus
<http://www.yso.fi/onto/yso/p7831>	kielellinen vuorovaikutus
<http://www.yso.fi/onto/yso/p7069>	sanallinen viestintä
<http://www.yso.fi/onto/yso/p20240>	fenomenografia
<http://www.yso.fi/onto/yso/p2977>	fenomenologia
<http://www.yso.fi/onto/yso/p10632>	haastattelututkimus
<http://www.yso.fi/onto/yso/p10631>	kyselytutkimus
