<http://www.yso.fi/onto/yso/p6425>	habitus
<http://www.yso.fi/onto/yso/p8998>	sosiaalinen pääoma
<http://www.yso.fi/onto/yso/p11596>	elämänhistoria
<http://www.yso.fi/onto/yso/p3313>	elämänkaari
<http://www.yso.fi/onto/yso/p5236>	keski-ikä
<http://www.yso.fi/onto/yso/p16991>	naiset
<http://www.yso.fi/onto/yso/p12279>	äidit
<http://www.yso.fi/onto/yso/p2259>	perhe-elämä
<http://www.yso.fi/onto/yso/p9255>	palkkatyö
<http://www.yso.fi/onto/yso/p20671>	työura
<http://www.yso.fi/onto/yso/p8831>	työmarkkinat
<http://www.yso.fi/onto/yso/p84>	koulutus
<http://www.yso.fi/onto/yso/p3485>	tunteet
<http://www.yso.fi/onto/yso/p10997>	paikallisyhteisöt
<http://www.yso.fi/onto/yso/p2954>	yhteiskunnallinen muutos
<http://www.yso.fi/onto/yso/p94260>	Laukaa
