<http://www.yso.fi/onto/yso/p998>	teollisuus
<http://www.yso.fi/onto/yso/p12871>	henkilöstöjohtaminen
<http://www.yso.fi/onto/yso/p5493>	henkilöstöpolitiikka
<http://www.yso.fi/onto/yso/p22397>	tehtaanjohtajat
<http://www.yso.fi/onto/yso/p554>	johtaminen
<http://www.yso.fi/onto/yso/p4294>	työsuojelu
<http://www.yso.fi/onto/yso/p9892>	teollisuustyöntekijät
<http://www.yso.fi/onto/yso/p6811>	teollisuusyhdyskunnat
<http://www.yso.fi/onto/yso/p3286>	sosiaalityö
<http://www.yso.fi/onto/yso/p17789>	taloushistoria
<http://www.yso.fi/onto/yso/p1780>	historia
<http://www.yso.fi/onto/yso/p94469>	Valkeakoski
