<http://www.yso.fi/onto/yso/p15452>	musiikinopettajat
<http://www.yso.fi/onto/yso/p24415>	flow-tila
<http://www.yso.fi/onto/yso/p1808>	musiikki
<http://www.yso.fi/onto/yso/p2630>	opetus
<http://www.yso.fi/onto/yso/p19352>	resurssit
<http://www.yso.fi/onto/yso/p38424>	fyysinen hyvinvointi
<http://www.yso.fi/onto/yso/p1947>	hyvinvointi
<http://www.yso.fi/onto/yso/p8311>	luovuus
<http://www.yso.fi/onto/yso/p9743>	identiteetti
<http://www.yso.fi/onto/yso/p135>	jaksaminen
<http://www.yso.fi/onto/yso/p2901>	harrastukset
