<http://www.yso.fi/onto/yso/p2849>	taloustieteet
<http://www.yso.fi/onto/yso/p2439>	liiketoiminta
<http://www.yso.fi/onto/yso/p554>	johtaminen
<http://www.yso.fi/onto/yso/p1178>	yrittäjät
<http://www.yso.fi/onto/yso/p1182>	yrittäjyys
<http://www.yso.fi/onto/yso/p5291>	sukupuoli
<http://www.yso.fi/onto/yso/p16991>	naiset
<http://www.yso.fi/onto/yso/p9255>	palkkatyö
<http://www.yso.fi/onto/yso/p14983>	urakehitys
<http://www.yso.fi/onto/yso/p15898>	uranvalinta
<http://www.yso.fi/onto/yso/p20671>	työura
<http://www.yso.fi/onto/yso/p16262>	työelämä
<http://www.yso.fi/onto/yso/p2259>	perhe-elämä
<http://www.yso.fi/onto/yso/p2794>	perhe (ilmiöt)
<http://www.yso.fi/onto/yso/p10910>	yksityiselämä
<http://www.yso.fi/onto/yso/p820>	odotukset
<http://www.yso.fi/onto/yso/p4734>	motivaatio
<http://www.yso.fi/onto/yso/p1831>	työtyytyväisyys
<http://www.yso.fi/onto/yso/p22817>	teemahaastattelut
