<http://www.yso.fi/onto/yso/p16991>	naiset
<http://www.yso.fi/onto/yso/p1178>	yrittäjät
<http://www.yso.fi/onto/yso/p1182>	yrittäjyys
<http://www.yso.fi/onto/yso/p20094>	perheyritykset
<http://www.yso.fi/onto/yso/p2551>	valta
<http://www.yso.fi/onto/yso/p24516>	voimaantuminen
<http://www.yso.fi/onto/yso/p2794>	perhe (ilmiöt)
<http://www.yso.fi/onto/yso/p3312>	vanhemmuus
<http://www.yso.fi/onto/yso/p16262>	työelämä
<http://www.yso.fi/onto/yso/p4357>	elämänhallinta
<http://www.yso.fi/onto/yso/p11782>	kvalitatiivinen tutkimus
