<http://www.yso.fi/onto/yso/p10564>	ammattikorkeakoulut
<http://www.yso.fi/onto/yso/p300>	aikuiskoulutus
<http://www.yso.fi/onto/yso/p4780>	opinnot
<http://www.yso.fi/onto/yso/p8343>	osaaminen
<http://www.yso.fi/onto/yso/p4230>	kehittäminen
<http://www.yso.fi/onto/yso/p8265>	tunnistaminen
<http://www.yso.fi/onto/yso/p9365>	ammattitaito
<http://www.yso.fi/onto/yso/p8586>	opintomenestys
<http://www.yso.fi/onto/yso/p25875>	aikuisopiskelijat
<http://www.yso.fi/onto/yso/p20623>	sisäinen yrittäjyys
<http://www.yso.fi/onto/yso/p19497>	yrittäjyyskasvatus
<http://www.yso.fi/onto/yso/p1182>	yrittäjyys
