<http://www.yso.fi/onto/yso/p19867>	maisemantutkimus
<http://www.yso.fi/onto/yso/p1716>	maisema
<http://www.yso.fi/onto/yso/p10842>	maatalousmaisema
<http://www.yso.fi/onto/yso/p2329>	kulttuurimaisema
<http://www.yso.fi/onto/yso/p13777>	maaseutu
<http://www.yso.fi/onto/yso/p17839>	maaseutukulttuuri
<http://www.yso.fi/onto/yso/p8490>	kansallinen kulttuuri
<http://www.yso.fi/onto/yso/p4880>	suomalaisuus
<http://www.yso.fi/onto/yso/p26169>	kulttuurinen kestävyys
<http://www.yso.fi/onto/yso/p10274>	visuaalinen kulttuuri
<http://www.yso.fi/onto/yso/p1149>	kuvat
<http://www.yso.fi/onto/yso/p3403>	aiheet
<http://www.yso.fi/onto/yso/p1490>	mielikuvat
<http://www.yso.fi/onto/yso/p94426>	Suomi
