<http://www.yso.fi/onto/yso/p26041>	taitokasvatus
<http://www.yso.fi/onto/yso/p20743>	tieto- ja viestintätekniikka
<http://www.yso.fi/onto/yso/p5462>	tietotekniikka
<http://www.yso.fi/onto/yso/p5260>	opetuskäyttö
<http://www.yso.fi/onto/yso/p1117>	opettajat
<http://www.yso.fi/onto/yso/p8790>	opettajuus
<http://www.yso.fi/onto/yso/p568>	luokkatyöskentely
<http://www.yso.fi/onto/yso/p11284>	opetustaito
<http://www.yso.fi/onto/yso/p2630>	opetus
<http://www.yso.fi/onto/yso/p9640>	käytäntö
<http://www.yso.fi/onto/yso/p8498>	konstruktivismi
