<http://www.yso.fi/onto/yso/p21615>	sosiaalinen toimintakyky
<http://www.yso.fi/onto/yso/p11617>	nuoret
<http://www.yso.fi/onto/yso/p2260>	vanhempi-lapsisuhde
<http://www.yso.fi/onto/yso/p2259>	perhe-elämä
<http://www.yso.fi/onto/yso/p2794>	perhe (ilmiöt)
<http://www.yso.fi/onto/yso/p2261>	kotiympäristö
<http://www.yso.fi/onto/yso/p3312>	vanhemmuus
<http://www.yso.fi/onto/yso/p6444>	sosiaaliset taidot
<http://www.yso.fi/onto/yso/p411>	sosiaaliset suhteet
<http://www.yso.fi/onto/yso/p6138>	sosiaalinen kehitys
<http://www.yso.fi/onto/yso/p11867>	selviytyminen
