<http://www.yso.fi/onto/yso/p17032>	perhevalmennus
<http://www.yso.fi/onto/yso/p18625>	synnytysvalmennus
<http://www.yso.fi/onto/yso/p6165>	maahanmuuttajat
<http://www.yso.fi/onto/yso/p9220>	somalit
<http://www.yso.fi/onto/yso/p4363>	perheet (ryhmät)
<http://www.yso.fi/onto/yso/p16991>	naiset
<http://www.yso.fi/onto/yso/p4176>	tarpeet
<http://www.yso.fi/onto/yso/p1913>	menetelmät
<http://www.yso.fi/onto/yso/p10647>	monikulttuurisuus
<http://www.yso.fi/onto/yso/p12733>	terveyskasvatus
<http://www.yso.fi/onto/yso/p12732>	terveyden edistäminen
<http://www.yso.fi/onto/yso/p25798>	kulttuurienvälinen vuorovaikutus
<http://www.yso.fi/onto/yso/p16042>	hoitohenkilöstö
