<http://www.yso.fi/onto/yso/p990>	mielenterveyshäiriöt
<http://www.yso.fi/onto/yso/p4145>	psykoosit
<http://www.yso.fi/onto/yso/p7913>	mielenterveystyö
<http://www.yso.fi/onto/yso/p7915>	psykiatrinen hoito
<http://www.yso.fi/onto/yso/p392>	hoitomenetelmät
<http://www.yso.fi/onto/yso/p2585>	verkostotyö
<http://www.yso.fi/onto/yso/p2584>	verkostoterapia
<http://www.yso.fi/onto/yso/p6295>	perhekeskeisyys
<http://www.yso.fi/onto/yso/p131>	psyykkinen kuormittavuus
<http://www.yso.fi/onto/yso/p407>	läheiset
<http://www.yso.fi/onto/yso/p94180>	Kainuu
