<http://www.yso.fi/onto/yso/p6262>	elinikäinen oppiminen
<http://www.yso.fi/onto/yso/p2433>	ikääntyneet
<http://www.yso.fi/onto/yso/p2431>	eläkeläiset
<http://www.yso.fi/onto/yso/p10855>	avoin yliopisto
<http://www.yso.fi/onto/yso/p3390>	korkea-asteen koulutus
<http://www.yso.fi/onto/yso/p6310>	yhteiskuntaluokat
<http://www.yso.fi/onto/yso/p2209>	sukupolvet
<http://www.yso.fi/onto/yso/p8799>	perhetausta
<http://www.yso.fi/onto/yso/p12156>	koulutustausta
<http://www.yso.fi/onto/yso/p22016>	kulttuurinen pääoma
<http://www.yso.fi/onto/yso/p26061>	sosiaalinen periytyvyys
