<http://www.yso.fi/onto/yso/p10997>	paikallisyhteisöt
<http://www.yso.fi/onto/yso/p9260>	yksilö
<http://www.yso.fi/onto/yso/p14696>	ammattinimikkeet
<http://www.yso.fi/onto/yso/p1541>	käsityöläiset
<http://www.yso.fi/onto/yso/p408>	sosiaaliset verkostot
<http://www.yso.fi/onto/yso/p6299>	historialliset kartat
<http://www.yso.fi/onto/yso/p18362>	ammattikuntalaitos
<http://www.yso.fi/onto/yso/p18262>	merkantilismi
<http://www.yso.fi/onto/yso/p7555>	maatalousyhteiskunta
<http://www.yso.fi/onto/yso/p15055>	esiteollinen yhteiskunta
<http://www.yso.fi/onto/yso/p8572>	kulutustottumukset
<http://www.yso.fi/onto/yso/p2154>	kulutushyödykkeet
<http://www.yso.fi/onto/yso/p7733>	tuotantohyödykkeet
<http://www.yso.fi/onto/yso/p11636>	ostovoima
<http://www.yso.fi/onto/yso/p94426>	Suomi
<http://www.yso.fi/onto/yso/p94142>	Hollola
