<http://www.yso.fi/onto/yso/p3230>	romanit
<http://www.yso.fi/onto/yso/p5739>	etniset vähemmistöt
<http://www.yso.fi/onto/yso/p454>	politiikka
<http://www.yso.fi/onto/yso/p9796>	äänioikeus
<http://www.yso.fi/onto/yso/p2404>	poliittiset oikeudet
<http://www.yso.fi/onto/yso/p2672>	sosiaalipolitiikka
<http://www.yso.fi/onto/yso/p20307>	romanikieli
<http://www.yso.fi/onto/yso/p25440>	romanikulttuuri
<http://www.yso.fi/onto/yso/p11478>	poliittinen toiminta
<http://www.yso.fi/onto/yso/p2402>	ihmisoikeudet
<http://www.yso.fi/onto/yso/p10252>	vähemmistöpolitiikka
<http://www.yso.fi/onto/yso/p94426>	Suomi
