<http://www.yso.fi/onto/yso/p22220>	narratiivinen tutkimus
<http://www.yso.fi/onto/yso/p25824>	autofiktio
<http://www.yso.fi/onto/yso/p16155>	omaelämäkerrallisuus
<http://www.yso.fi/onto/yso/p10906>	narratologia
<http://www.yso.fi/onto/yso/p14905>	kertoja
<http://www.yso.fi/onto/yso/p6895>	kerronta
<http://www.yso.fi/onto/yso/p26983>	minäkertoja
<http://www.yso.fi/onto/yso/p26987>	epäluotettava kertoja
<http://www.yso.fi/onto/yso/p27928>	fokalisaatio
<http://www.yso.fi/onto/yso/p1273>	fiktiiviset henkilöt
<http://www.yso.fi/onto/yso/p17134>	genret
<http://www.yso.fi/onto/yso/p94350>	Pohjoismaat
