<http://www.yso.fi/onto/yso/p5168>	etnosentrismi
<http://www.yso.fi/onto/yso/p9931>	saamelaisuus
<http://www.yso.fi/onto/yso/p11536>	etninen identiteetti
<http://www.yso.fi/onto/yso/p10648>	kulttuuri-identiteetti
<http://www.yso.fi/onto/yso/p2190>	kulttuurierot
<http://www.yso.fi/onto/yso/p5737>	alkuperäiskansat
<http://www.yso.fi/onto/yso/p4934>	museot
<http://www.yso.fi/onto/yso/p8973>	näyttelytoiminta
<http://www.yso.fi/onto/yso/p1407>	representaatio
<http://www.yso.fi/onto/yso/p8498>	konstruktivismi
<http://www.yso.fi/onto/yso/p139954>	Saamenmaa
