<http://www.yso.fi/onto/yso/p9615>	kiinalaisuus
<http://www.yso.fi/onto/yso/p13665>	kungfutselaisuus
<http://www.yso.fi/onto/yso/p10006>	siirtolaisuus
<http://www.yso.fi/onto/yso/p7905>	akkulturaatio
<http://www.yso.fi/onto/yso/p6137>	sopeutuminen
<http://www.yso.fi/onto/yso/p5281>	ulkosuomalaiset
<http://www.yso.fi/onto/yso/p11115>	ulkopuolisuus
<http://www.yso.fi/onto/yso/p11114>	toiseus
<http://www.yso.fi/onto/yso/p9743>	identiteetti
<http://www.yso.fi/onto/yso/p16991>	naiset
<http://www.yso.fi/onto/yso/p104984>	Kiina
