<http://www.yso.fi/onto/yso/p1044>	arvot
<http://www.yso.fi/onto/yso/p5619>	asenteet
<http://www.yso.fi/onto/yso/p10270>	suoriutuminen
<http://www.yso.fi/onto/yso/p25198>	universalismi
<http://www.yso.fi/onto/yso/p7321>	individualismi
<http://www.yso.fi/onto/yso/p13897>	kollektivismi
<http://www.yso.fi/onto/yso/p6930>	hyvinvointivaltio
<http://www.yso.fi/onto/yso/p9778>	yhteiskunta
<http://www.yso.fi/onto/yso/p15388>	arvoteoria
<http://www.yso.fi/onto/yso/p3180>	suomalaiset
<http://www.yso.fi/onto/yso/p94426>	Suomi
