<http://www.yso.fi/onto/yso/p3999>	luokanopettajat
<http://www.yso.fi/onto/yso/p10746>	opettajankoulutus
<http://www.yso.fi/onto/yso/p16486>	opiskelijat
<http://www.yso.fi/onto/yso/p3937>	uskonnollisuus
<http://www.yso.fi/onto/yso/p218>	vakaumus
<http://www.yso.fi/onto/yso/p8799>	perhetausta
<http://www.yso.fi/onto/yso/p12156>	koulutustausta
<http://www.yso.fi/onto/yso/p7298>	poliittisuus
<http://www.yso.fi/onto/yso/p3276>	vapaa-aika
<http://www.yso.fi/onto/yso/p2901>	harrastukset
<http://www.yso.fi/onto/yso/p22036>	hyvinvointi (terveydellinen)
<http://www.yso.fi/onto/yso/p1947>	hyvinvointi (taloudellinen)
