<http://www.yso.fi/onto/yso/p10083>	kunnat
<http://www.yso.fi/onto/yso/p17894>	aktivointi
<http://www.yso.fi/onto/yso/p19256>	pitkäaikaistyöttömyys
<http://www.yso.fi/onto/yso/p506>	hallinta
<http://www.yso.fi/onto/yso/p11571>	työttömyys
<http://www.yso.fi/onto/yso/p8013>	työpolitiikka
<http://www.yso.fi/onto/yso/p2672>	sosiaalipolitiikka
<http://www.yso.fi/onto/yso/p8012>	työllisyyspolitiikka
<http://www.yso.fi/onto/yso/p6357>	työllisyys
<http://www.yso.fi/onto/yso/p19401>	työvoimapolitiikka
<http://www.yso.fi/onto/yso/p94173>	Jyväskylä
