<http://www.yso.fi/onto/yso/p2512>	kirjoittaminen
<http://www.yso.fi/onto/yso/p11406>	lukeminen (toiminta)
<http://www.yso.fi/onto/yso/p8113>	kirjallisuus
<http://www.yso.fi/onto/yso/p14395>	luova kirjoittaminen
<http://www.yso.fi/onto/yso/p7432>	tila
<http://www.yso.fi/onto/yso/p9979>	paikka
<http://www.yso.fi/onto/yso/p14074>	elinympäristö
<http://www.yso.fi/onto/yso/p17536>	miljöökuvaus
<http://www.yso.fi/onto/yso/p16155>	omaelämäkerrallisuus
<http://www.yso.fi/onto/yso/p22156>	humanistinen maantiede
<http://www.yso.fi/onto/yso/p1938>	aistit
<http://www.yso.fi/onto/yso/p3210>	kokeminen
<http://www.yso.fi/onto/yso/p7009>	merkitykset (tieto)
