<http://www.yso.fi/onto/yso/p9063>	oikeudenkäynti
<http://www.yso.fi/onto/yso/p938>	kirkkokunnat
<http://www.yso.fi/onto/yso/p8507>	hautausmaat
<http://www.yso.fi/onto/yso/p2575>	tuomiokirjat
<http://www.yso.fi/onto/yso/p6089>	magia
<http://www.yso.fi/onto/yso/p7777>	noituus
<http://www.yso.fi/onto/yso/p17078>	noitavainot
<http://www.yso.fi/onto/yso/p14349>	sukupuolittuminen
<http://www.yso.fi/onto/yso/p8173>	miehet
<http://www.yso.fi/onto/yso/p930>	maskuliinisuus
<http://www.yso.fi/onto/yso/p9137>	mieheys
<http://www.yso.fi/onto/yso/p6088>	uskomukset
<http://www.yso.fi/onto/yso/p219>	maailmankuva
<http://www.yso.fi/onto/yso/p2621>	pyhyys
<http://www.yso.fi/onto/yso/p94426>	Suomi
