<http://www.yso.fi/onto/yso/p18452>	kulttuurihistoria
<http://www.yso.fi/onto/yso/p4545>	mentaliteettihistoria
<http://www.yso.fi/onto/yso/p4544>	mikrohistoria
<http://www.yso.fi/onto/yso/p1065>	lähiluku
<http://www.yso.fi/onto/yso/p15359>	Ruotsin vallan aika
<http://www.yso.fi/onto/yso/p1891>	pyhäpäivät
<http://www.yso.fi/onto/yso/p1575>	kirkkovuosi
<http://www.yso.fi/onto/yso/p1080>	vuotuisjuhlat
<http://www.yso.fi/onto/yso/p1251>	rituaalit
<http://www.yso.fi/onto/yso/p533>	taikausko
<http://www.yso.fi/onto/yso/p2620>	pyhä (uskonnolliset käsitteet)
<http://www.yso.fi/onto/yso/p28355>	liminaalisuus
<http://www.yso.fi/onto/yso/p798>	kansanusko
<http://www.yso.fi/onto/yso/p7037>	perinne
<http://www.yso.fi/onto/yso/p12100>	kekri
<http://www.yso.fi/onto/yso/p28762>	uhrilahjat
<http://www.yso.fi/onto/yso/p580>	uhripaikat
<http://www.yso.fi/onto/yso/p2551>	valta
<http://www.yso.fi/onto/yso/p7138>	normit
<http://www.yso.fi/onto/yso/p6438>	yhdenmukaistaminen
<http://www.yso.fi/onto/yso/p13129>	reformaatio
<http://www.yso.fi/onto/yso/p10997>	paikallisyhteisöt
<http://www.yso.fi/onto/yso/p27904>	maaseutuyhteisöt
<http://www.yso.fi/onto/yso/p9055>	uskonnolliset juhlat
<http://www.yso.fi/onto/yso/p17811>	kirkossakäynti
<http://www.yso.fi/onto/yso/p8758>	luterilaisuus
<http://www.yso.fi/onto/yso/p94401>	Savo
<http://www.yso.fi/onto/yso/p94426>	Suomi
