<http://www.yso.fi/onto/yso/p5194>	reseptioestetiikka
<http://www.yso.fi/onto/yso/p563>	retoriikka
<http://www.yso.fi/onto/yso/p24581>	argumentaatioteoria
<http://www.yso.fi/onto/yso/p21222>	mimesis
<http://www.yso.fi/onto/yso/p21709>	fanius
<http://www.yso.fi/onto/yso/p2719>	blogit
<http://www.yso.fi/onto/yso/p11169>	julkisuuskuva
<http://www.yso.fi/onto/yso/p7829>	diskurssianalyysi
<http://www.yso.fi/onto/yso/p8970>	kirjailijat
<http://www.yso.fi/onto/yso/p11597>	elämäkerrat
<http://www.yso.fi/onto/yso/p1365>	lyriikka
<http://www.yso.fi/onto/yso/p9649>	lukijat
<http://www.yso.fi/onto/yso/p4511>	tulkinta
<http://www.yso.fi/onto/yso/p16697>	tekstit
<http://www.yso.fi/onto/yso/p21841>	verkkokeskustelu
