<http://www.yso.fi/onto/yso/p21079>	eettinen kulutus
<http://www.yso.fi/onto/yso/p23085>	eettisyys
<http://www.yso.fi/onto/yso/p8574>	kulutus
<http://www.yso.fi/onto/yso/p22644>	kulutuskulttuuri
<http://www.yso.fi/onto/yso/p24202>	kestävä kulutus
<http://www.yso.fi/onto/yso/p8576>	kuluttajakäyttäytyminen
<http://www.yso.fi/onto/yso/p25044>	kuluttajuus
<http://www.yso.fi/onto/yso/p8572>	kulutustottumukset
<http://www.yso.fi/onto/yso/p22351>	ekologisuus
<http://www.yso.fi/onto/yso/p21004>	ekologinen kestävyys
<http://www.yso.fi/onto/yso/p1044>	arvot
<http://www.yso.fi/onto/yso/p216>	ideologiat
<http://www.yso.fi/onto/yso/p2551>	valta
<http://www.yso.fi/onto/yso/p854>	vastuu
<http://www.yso.fi/onto/yso/p24111>	vastuullisuus
<http://www.yso.fi/onto/yso/p20928>	vastuuntunto
