<http://www.yso.fi/onto/yso/p1801>	kemia
<http://www.yso.fi/onto/yso/p2630>	opetus
<http://www.yso.fi/onto/yso/p7401>	lukio
<http://www.yso.fi/onto/yso/p5140>	opetussuunnitelmat
<http://www.yso.fi/onto/yso/p11961>	opetustavoitteet
<http://www.yso.fi/onto/yso/p988>	opetusmenetelmät
<http://www.yso.fi/onto/yso/p22828>	kokeellisuus
<http://www.yso.fi/onto/yso/p7111>	oppilasarviointi
<http://www.yso.fi/onto/yso/p6332>	oppimiskäsitykset
<http://www.yso.fi/onto/yso/p1780>	historia
<http://www.yso.fi/onto/yso/p18173>	tutkiva oppiminen
<http://www.yso.fi/onto/yso/p15589>	oppisisällöt
<http://www.yso.fi/onto/yso/p1381>	oppilastyöt
<http://www.yso.fi/onto/yso/p5918>	ongelmalähtöinen oppiminen
<http://www.yso.fi/onto/yso/p7413>	arviointi
<http://www.yso.fi/onto/yso/p94426>	Suomi
