<http://www.yso.fi/onto/yso/p15138>	hiihtäjät
<http://www.yso.fi/onto/yso/p25224>	huippu-urheilijat
<http://www.yso.fi/onto/yso/p16991>	naiset
<http://www.yso.fi/onto/yso/p11435>	urheilujournalismi
<http://www.yso.fi/onto/yso/p12117>	urheilulehdet
<http://www.yso.fi/onto/yso/p1407>	representaatio
<http://www.yso.fi/onto/yso/p5291>	sukupuoli
<http://www.yso.fi/onto/yso/p7138>	normit
<http://www.yso.fi/onto/yso/p20540>	lehdistökirjoittelu
<http://www.yso.fi/onto/yso/p20071>	naisurheilu
<http://www.yso.fi/onto/yso/p11094>	hiihto
<http://www.yso.fi/onto/yso/p27506>	urheiluhistoria
<http://www.yso.fi/onto/yso/p10493>	naishistoria
