<http://www.yso.fi/onto/yso/p23894>	johtajat
<http://www.yso.fi/onto/yso/p16262>	työelämä
<http://www.yso.fi/onto/yso/p2259>	perhe-elämä
<http://www.yso.fi/onto/yso/p1810>	työ
<http://www.yso.fi/onto/yso/p2794>	perhe (ilmiöt)
<http://www.yso.fi/onto/yso/p21164>	yhteensovittaminen
<http://www.yso.fi/onto/yso/p24273>	puolisot
<http://www.yso.fi/onto/yso/p13126>	elämäntilanne
<http://www.yso.fi/onto/yso/p12764>	toimeentulo
<http://www.yso.fi/onto/yso/p3367>	ajankäyttö
<http://www.yso.fi/onto/yso/p3276>	vapaa-aika
