<http://www.yso.fi/onto/yso/p5527>	ruokatottumukset
<http://www.yso.fi/onto/yso/p11100>	terveyskäyttäytyminen
<http://www.yso.fi/onto/yso/p26740>	ryhmäohjaus
<http://www.yso.fi/onto/yso/p41>	interventio
<http://www.yso.fi/onto/yso/p8997>	sosiaalinen tuki
<http://www.yso.fi/onto/yso/p3790>	ruokavaliot
<http://www.yso.fi/onto/yso/p1240>	vihannekset
<http://www.yso.fi/onto/yso/p6656>	marjat
<http://www.yso.fi/onto/yso/p4647>	hedelmät
<http://www.yso.fi/onto/yso/p15449>	terveysvaikutukset
<http://www.yso.fi/onto/yso/p24458>	muutoksenhallinta
