<http://www.yso.fi/onto/yso/p2681>	korjausrakentaminen
<http://www.yso.fi/onto/yso/p3006>	projektit
<http://www.yso.fi/onto/yso/p1377>	suunnittelu
<http://www.yso.fi/onto/yso/p13609>	rakennussuojelu
<http://www.yso.fi/onto/yso/p11034>	rakennusperintö
<http://www.yso.fi/onto/yso/p13111>	rakennusvalvonta
<http://www.yso.fi/onto/yso/p8475>	kulttuuriperintö
<http://www.yso.fi/onto/yso/p2680>	peruskorjaus
<http://www.yso.fi/onto/yso/p1786>	rakennukset
<http://www.yso.fi/onto/yso/p14187>	saneeraus
<http://www.yso.fi/onto/yso/p18319>	entistäminen
<http://www.yso.fi/onto/yso/p2290>	suojelu
<http://www.yso.fi/onto/yso/p1786>	rakennukset
<http://www.yso.fi/onto/yso/p18318>	konservointi
<http://www.yso.fi/onto/yso/p16017>	rakennuttaminen
<http://www.yso.fi/onto/yso/p15607>	museologia
<http://www.yso.fi/onto/yso/p14482>	urakoitsijat
<http://www.yso.fi/onto/yso/p5433>	sisäilma
<http://www.yso.fi/onto/yso/p3392>	ongelmat
<http://www.yso.fi/onto/yso/p2683>	korjaus
<http://www.yso.fi/onto/yso/p9046>	kunnossapito
<http://www.yso.fi/onto/yso/p10235>	kiinteistönhoito
<http://www.yso.fi/onto/yso/p10463>	LVI-suunnittelu
<http://www.yso.fi/onto/yso/p6308>	rakennussuunnittelu
<http://www.yso.fi/onto/yso/p18622>	hankesuunnittelu
<http://www.yso.fi/onto/yso/p15212>	selvitys
<http://www.yso.fi/onto/yso/p15676>	rakennushistoria
<http://www.yso.fi/onto/yso/p668>	raportointi
<http://www.yso.fi/onto/yso/p16361>	dokumentointi
