<http://www.yso.fi/onto/yso/p13929>	alkoholi (nautintoaineet)
<http://www.yso.fi/onto/yso/p1634>	ravintolat
<http://www.yso.fi/onto/yso/p18964>	anniskelu
<http://www.yso.fi/onto/yso/p13854>	lainsäädäntö
<http://www.yso.fi/onto/yso/p6118>	valvonta
<http://www.yso.fi/onto/yso/p6823>	terveystarkastajat
<http://www.yso.fi/onto/yso/p1178>	yrittäjät
<http://www.yso.fi/onto/yso/p5619>	asenteet
<http://www.yso.fi/onto/yso/p19612>	alkoholipolitiikka
<http://www.yso.fi/onto/yso/p17923>	sosiaalinen konstruktivismi
<http://www.yso.fi/onto/yso/p26671>	kehysanalyysi
