<http://www.yso.fi/onto/yso/p6461>	turvapaikanhakijat
<http://www.yso.fi/onto/yso/p24613>	suomi toisena kielenä
<http://www.yso.fi/onto/yso/p556>	kieli ja kielet
<http://www.yso.fi/onto/yso/p2630>	opetus
<http://www.yso.fi/onto/yso/p9700>	ammatillinen koulutus
<http://www.yso.fi/onto/yso/p39507>	integroitu opetus (opetusryhmät)
<http://www.yso.fi/onto/yso/p39511>	integroitu opetus (oppiaineet)
<http://www.yso.fi/onto/yso/p988>	opetusmenetelmät
<http://www.yso.fi/onto/yso/p20098>	toiminnalliset menetelmät
<http://www.yso.fi/onto/yso/p15028>	kieltenopettajat
<http://www.yso.fi/onto/yso/p8790>	opettajuus
