<http://www.yso.fi/onto/yso/p5605>	uskonnolliset yhteisöt
<http://www.yso.fi/onto/yso/p19379>	Jehovan todistajat
<http://www.yso.fi/onto/yso/p5522>	yhteisöllisyys
<http://www.yso.fi/onto/yso/p38418>	eroaminen tehtävästä
<http://www.yso.fi/onto/yso/p38317>	eroaminen (ihmissuhteet)
<http://www.yso.fi/onto/yso/p38444>	eroaminen (yhteisöstä)
<http://www.yso.fi/onto/yso/p29647>	hengellinen väkivalta
<http://www.yso.fi/onto/yso/p25268>	traumatisoituminen
<http://www.yso.fi/onto/yso/p990>	mielenterveyshäiriöt
<http://www.yso.fi/onto/yso/p11867>	selviytyminen
<http://www.yso.fi/onto/yso/p3286>	sosiaalityö
<http://www.yso.fi/onto/yso/p12878>	vertaistuki
