<http://www.yso.fi/onto/yso/p8900>	toinen maailmansota
<http://www.yso.fi/onto/yso/p2504>	sotilaat
<http://www.yso.fi/onto/yso/p16991>	naiset
<http://www.yso.fi/onto/yso/p8393>	alkoholinkäyttö
<http://www.yso.fi/onto/yso/p10618>	huumeiden käyttö
<http://www.yso.fi/onto/yso/p3209>	kokemukset
<http://www.yso.fi/onto/yso/p10886>	päihteet
<http://www.yso.fi/onto/yso/p1077>	lääkkeet
<http://www.yso.fi/onto/yso/p5465>	huumeet
<http://www.yso.fi/onto/yso/p13929>	alkoholi (nautintoaineet)
<http://www.yso.fi/onto/yso/p10467>	morfiini
<http://www.yso.fi/onto/yso/p17074>	heroiini
<http://www.yso.fi/onto/yso/p7586>	sosiaalihistoria
<http://www.yso.fi/onto/yso/p13199>	sotahistoria
<http://www.yso.fi/onto/yso/p8109>	muistitieto
<http://www.yso.fi/onto/yso/p8111>	muistelmat
<http://www.yso.fi/onto/yso/p1066>	kirjallisuudentutkimus
<http://www.yso.fi/onto/yso/p94426>	Suomi
