<http://www.yso.fi/onto/yso/p1650>	varhaiskasvatus
<http://www.yso.fi/onto/yso/p22126>	tiedekasvatus
<http://www.yso.fi/onto/yso/p12517>	teknologiakasvatus
<http://www.yso.fi/onto/yso/p5457>	taidekasvatus
<http://www.yso.fi/onto/yso/p3160>	matematiikka
<http://www.yso.fi/onto/yso/p3974>	ilmiöt
<http://www.yso.fi/onto/yso/p988>	opetusmenetelmät
<http://www.yso.fi/onto/yso/p7482>	kokemusoppiminen
<http://www.yso.fi/onto/yso/p18173>	tutkiva oppiminen
<http://www.yso.fi/onto/yso/p13922>	kokonaisvaltaisuus
<http://www.yso.fi/onto/yso/p13921>	holismi
<http://www.yso.fi/onto/yso/p4363>	perheet (ryhmät)
<http://www.yso.fi/onto/yso/p16215>	oppimiskokemukset
<http://www.yso.fi/onto/yso/p15202>	oppimispsykologia
