<http://www.yso.fi/onto/yso/p3315>	urheilijat
<http://www.yso.fi/onto/yso/p963>	voimistelu
<http://www.yso.fi/onto/yso/p4330>	uinti
<http://www.yso.fi/onto/yso/p935>	yleisurheilu
<http://www.yso.fi/onto/yso/p28369>	yksilöurheilu
<http://www.yso.fi/onto/yso/p18818>	kilpaurheilu
<http://www.yso.fi/onto/yso/p14285>	huippu-urheilu
<http://www.yso.fi/onto/yso/p29558>	urheilu-ura
<http://www.yso.fi/onto/yso/p3209>	kokemukset
<http://www.yso.fi/onto/yso/p4734>	motivaatio
<http://www.yso.fi/onto/yso/p7458>	kannustimet
<http://www.yso.fi/onto/yso/p24455>	tavoiteorientaatio
<http://www.yso.fi/onto/yso/p8016>	itseohjautuvuus
