<http://www.yso.fi/onto/yso/p5583>	lähiöt
<http://www.yso.fi/onto/yso/p10997>	paikallisyhteisöt
<http://www.yso.fi/onto/yso/p4477>	sosiaaliset ongelmat
<http://www.yso.fi/onto/yso/p8917>	syrjäytyminen
<http://www.yso.fi/onto/yso/p5522>	yhteisöllisyys
<http://www.yso.fi/onto/yso/p10728>	osallistaminen
<http://www.yso.fi/onto/yso/p2335>	toimijuus
<http://www.yso.fi/onto/yso/p27793>	rakenteellinen sosiaalityö
<http://www.yso.fi/onto/yso/p16305>	alueellinen sosiaalityö
<http://www.yso.fi/onto/yso/p19035>	sosiaalipsykologia
<http://www.yso.fi/onto/yso/p94229>	Kuhmo
