<http://www.yso.fi/onto/yso/p6910>	sotalapset
<http://www.yso.fi/onto/yso/p13735>	lapsuus
<http://www.yso.fi/onto/yso/p3209>	kokemukset
<http://www.yso.fi/onto/yso/p5471>	sijaiskodit
<http://www.yso.fi/onto/yso/p6137>	sopeutuminen
<http://www.yso.fi/onto/yso/p9743>	identiteetti
<http://www.yso.fi/onto/yso/p7905>	akkulturaatio
<http://www.yso.fi/onto/yso/p8109>	muistitieto
<http://www.yso.fi/onto/yso/p8900>	toinen maailmansota
<http://www.yso.fi/onto/yso/p3180>	suomalaiset
<http://www.yso.fi/onto/yso/p94383>	Ruotsi
<http://www.yso.fi/onto/yso/p94426>	Suomi
