<http://www.yso.fi/onto/yso/p14751>	ympäristökasvatus
<http://www.yso.fi/onto/yso/p14752>	luonto-opetus
<http://www.yso.fi/onto/yso/p13084>	luonto
<http://www.yso.fi/onto/yso/p3210>	kokeminen
<http://www.yso.fi/onto/yso/p10961>	aistimukset
<http://www.yso.fi/onto/yso/p3211>	elämys
<http://www.yso.fi/onto/yso/p20121>	sensitiivisyys
<http://www.yso.fi/onto/yso/p16315>	luontosuhde
<http://www.yso.fi/onto/yso/p5454>	metsät
<http://www.yso.fi/onto/yso/p17813>	esteettinen kasvatus
<http://www.yso.fi/onto/yso/p7953>	ympäristöestetiikka
<http://www.yso.fi/onto/yso/p10>	ympäristötietoisuus
