<http://www.yso.fi/onto/yso/p1066>	kirjallisuudentutkimus
<http://www.yso.fi/onto/yso/p4>	kaunokirjallisuus
<http://www.yso.fi/onto/yso/p3994>	nimittely
<http://www.yso.fi/onto/yso/p990>	mielenterveyshäiriöt
<http://www.yso.fi/onto/yso/p26730>	hulluus
<http://www.yso.fi/onto/yso/p2660>	poikkeavuus
<http://www.yso.fi/onto/yso/p12677>	stereotypiat
<http://www.yso.fi/onto/yso/p11114>	toiseus
<http://www.yso.fi/onto/yso/p2134>	sosioekonomiset tekijät
<http://www.yso.fi/onto/yso/p2552>	vallankäyttö
<http://www.yso.fi/onto/yso/p1949>	mielenterveys
