<http://www.yso.fi/onto/yso/p24000>	hydrometallurgia
<http://www.yso.fi/onto/yso/p21194>	sähkö- ja elektroniikkaromu
<http://www.yso.fi/onto/yso/p952>	piirilevyt
<http://www.yso.fi/onto/yso/p7410>	jalometallit
<http://www.yso.fi/onto/yso/p19074>	kupari
<http://www.yso.fi/onto/yso/p7409>	hopea
<http://www.yso.fi/onto/yso/p26929>	palladium
<http://www.yso.fi/onto/yso/p11190>	talteenotto
<http://www.yso.fi/onto/yso/p13144>	erottaminen (tekniikka)
<http://www.yso.fi/onto/yso/p9032>	liuotus
<http://www.yso.fi/onto/yso/p13743>	rikkihappo
<http://www.yso.fi/onto/yso/p8095>	elektrolyysi
<http://www.yso.fi/onto/yso/p13743>	rikkihappo
