<http://www.yso.fi/onto/yso/p22311>	teknologiateollisuus
<http://www.yso.fi/onto/yso/p11430>	tietotekniikka-ala
<http://www.yso.fi/onto/yso/p1075>	työntekijät
<http://www.yso.fi/onto/yso/p303>	perehdyttäminen
<http://www.yso.fi/onto/yso/p16262>	työelämä
<http://www.yso.fi/onto/yso/p10225>	työssäoppiminen
<http://www.yso.fi/onto/yso/p13158>	ammatillinen kehitys
<http://www.yso.fi/onto/yso/p15085>	asiantuntijuus
<http://www.yso.fi/onto/yso/p298>	mentorointi
<http://www.yso.fi/onto/yso/p20623>	sisäinen yrittäjyys
<http://www.yso.fi/onto/yso/p5570>	verkostot
<http://www.yso.fi/onto/yso/p12871>	henkilöstöjohtaminen
<http://www.yso.fi/onto/yso/p4190>	henkilöstö
<http://www.yso.fi/onto/yso/p4230>	kehittäminen
