<http://www.yso.fi/onto/yso/p5140>	opetussuunnitelmat
<http://www.yso.fi/onto/yso/p10957>	äidinkieli (kieli)
<http://www.yso.fi/onto/yso/p1535>	äidinkieli (oppiaineet)
<http://www.yso.fi/onto/yso/p8113>	kirjallisuus
<http://www.yso.fi/onto/yso/p2630>	opetus
<http://www.yso.fi/onto/yso/p19327>	perusopetus
<http://www.yso.fi/onto/yso/p1584>	pedagogiikka
<http://www.yso.fi/onto/yso/p15202>	oppimispsykologia
<http://www.yso.fi/onto/yso/p21683>	oppimisteoriat
<http://www.yso.fi/onto/yso/p11406>	lukeminen (toiminta)
<http://www.yso.fi/onto/yso/p2945>	oppiminen
<http://www.yso.fi/onto/yso/p11405>	lukutaito
<http://www.yso.fi/onto/yso/p22257>	tekstitaito
<http://www.yso.fi/onto/yso/p20611>	luetun ymmärtäminen
<http://www.yso.fi/onto/yso/p5301>	lukihäiriöt
<http://www.yso.fi/onto/yso/p5296>	oppiaineet
<http://www.yso.fi/onto/yso/p10957>	äidinkieli (kieli)
<http://www.yso.fi/onto/yso/p1535>	äidinkieli (oppiaineet)
<http://www.yso.fi/onto/yso/p2880>	kieli
<http://www.yso.fi/onto/yso/p11302>	kielenkäyttö
<http://www.yso.fi/onto/yso/p7413>	arviointi
<http://www.yso.fi/onto/yso/p1353>	sosiolingvistiikka
<http://www.yso.fi/onto/yso/p13448>	tekstilingvistiikka
<http://www.yso.fi/onto/yso/p21870>	sosiokulttuuriset tekijät
