<http://www.yso.fi/onto/yso/p916>	liikunta
<http://www.yso.fi/onto/yso/p1284>	peruspalvelut
<http://www.yso.fi/onto/yso/p16285>	liikuntatoimi
<http://www.yso.fi/onto/yso/p19682>	liikuntapolitiikka
<http://www.yso.fi/onto/yso/p10083>	kunnat
<http://www.yso.fi/onto/yso/p2043>	liikuntaseurat
<http://www.yso.fi/onto/yso/p2041>	urheiluseurat
<http://www.yso.fi/onto/yso/p17964>	seutuyhteistyö
<http://www.yso.fi/onto/yso/p9297>	liikuntasuunnittelu
<http://www.yso.fi/onto/yso/p2251>	kansalaistoiminta
<http://www.yso.fi/onto/yso/p3050>	vapaaehtoistyö
<http://www.yso.fi/onto/yso/p94173>	Jyväskylä
<http://www.yso.fi/onto/yso/p94260>	Laukaa
<http://www.yso.fi/onto/yso/p105750>	Muurame
<http://www.yso.fi/onto/yso/p94445>	Toivakka
<http://www.yso.fi/onto/yso/p105836>	Uurainen
<http://www.yso.fi/onto/yso/p105862>	Hankasalmi
