<http://www.yso.fi/onto/yso/p3547>	metsästys
<http://www.yso.fi/onto/yso/p5884>	riistanhoito
<http://www.yso.fi/onto/yso/p7926>	riista
<http://www.yso.fi/onto/yso/p1464>	lait (tuotokset)
<http://www.yso.fi/onto/yso/p4200>	säädökset
<http://www.yso.fi/onto/yso/p23369>	metsästyslaki
<http://www.yso.fi/onto/yso/p5047>	komiteat
<http://www.yso.fi/onto/yso/p12217>	komiteanmietinnöt
<http://www.yso.fi/onto/yso/p4225>	ympäristöhistoria
<http://www.yso.fi/onto/yso/p1393>	järjestöt
<http://www.yso.fi/onto/yso/p8777>	etujärjestöt
<http://www.yso.fi/onto/yso/p8421>	painostusryhmät
