<http://www.yso.fi/onto/yso/p3521>	iltapäivätoiminta
<http://www.yso.fi/onto/yso/p7179>	vammaiset
<http://www.yso.fi/onto/yso/p13035>	liikuntaharrastus
<http://www.yso.fi/onto/yso/p916>	liikunta
<http://www.yso.fi/onto/yso/p7642>	kerhot
<http://www.yso.fi/onto/yso/p18355>	inkluusio
<http://www.yso.fi/onto/yso/p1731>	integraatio
<http://www.yso.fi/onto/yso/p656>	esteet (ilmiöt)
<http://www.yso.fi/onto/yso/p4813>	esteet (elottomat objektit)
<http://www.yso.fi/onto/yso/p3093>	erityisliikunta
<http://www.yso.fi/onto/yso/p25148>	vammaisurheilu
<http://www.yso.fi/onto/yso/p3924>	liikuntakulttuuri
