<http://www.yso.fi/onto/yso/p10414>	historiantutkimus
<http://www.yso.fi/onto/yso/p17789>	taloushistoria
<http://www.yso.fi/onto/yso/p23071>	triangulaatio
<http://www.yso.fi/onto/yso/p23291>	abduktio
<http://www.yso.fi/onto/yso/p7569>	instituutiot
<http://www.yso.fi/onto/yso/p18755>	klusterit
<http://www.yso.fi/onto/yso/p3339>	kartellit
<http://www.yso.fi/onto/yso/p22089>	konsortiot
<http://www.yso.fi/onto/yso/p25099>	organisaatiomuutokset
<http://www.yso.fi/onto/yso/p15382>	organisaatiokulttuuri
<http://www.yso.fi/onto/yso/p11261>	yrityskulttuuri
<http://www.yso.fi/onto/yso/p20935>	puuhuolto
<http://www.yso.fi/onto/yso/p1861>	metsätalous
<http://www.yso.fi/onto/yso/p10705>	metsäteollisuus
<http://www.yso.fi/onto/yso/p17785>	puukauppa
<http://www.yso.fi/onto/yso/p17784>	puunhankinta
<http://www.yso.fi/onto/yso/p11083>	metsänomistajat
<http://www.yso.fi/onto/yso/p2954>	yhteiskunnallinen muutos
<http://www.yso.fi/onto/yso/p3867>	globalisaatio
<http://www.yso.fi/onto/yso/p13854>	lainsäädäntö
<http://www.yso.fi/onto/yso/p94161>	Itä-Suomi
