<http://www.yso.fi/onto/yso/p36>	viestintä
<http://www.yso.fi/onto/yso/p21539>	viestintätutkimus
<http://www.yso.fi/onto/yso/p2494>	puheviestintä
<http://www.yso.fi/onto/yso/p16262>	työelämä
<http://www.yso.fi/onto/yso/p6334>	yhteistyö
<http://www.yso.fi/onto/yso/p10592>	yhteistyökyky
<http://www.yso.fi/onto/yso/p10591>	vuorovaikutus
<http://www.yso.fi/onto/yso/p6444>	sosiaaliset taidot
<http://www.yso.fi/onto/yso/p10590>	sosiaalinen vuorovaikutus
<http://www.yso.fi/onto/yso/p5570>	verkostot
<http://www.yso.fi/onto/yso/p6374>	tiimit
<http://www.yso.fi/onto/yso/p272>	organisaatiot (järjestelmät)
<http://www.yso.fi/onto/yso/p3128>	yritykset
<http://www.yso.fi/onto/yso/p7299>	taloudellinen rakenne
<http://www.yso.fi/onto/yso/p3867>	globalisaatio
<http://www.yso.fi/onto/yso/p20743>	tieto- ja viestintätekniikka
<http://www.yso.fi/onto/yso/p6334>	yhteistyö
