<http://www.yso.fi/onto/yso/p10083>	kunnat
<http://www.yso.fi/onto/yso/p13350>	osakeyhtiöt
<http://www.yso.fi/onto/yso/p3128>	yritykset
<http://www.yso.fi/onto/yso/p20830>	omistajuus
<http://www.yso.fi/onto/yso/p974>	osakkaat
<http://www.yso.fi/onto/yso/p20911>	omistajaohjaus
<http://www.yso.fi/onto/yso/p1182>	yrittäjyys
<http://www.yso.fi/onto/yso/p20623>	sisäinen yrittäjyys
<http://www.yso.fi/onto/yso/p1178>	yrittäjät
<http://www.yso.fi/onto/yso/p554>	johtaminen
<http://www.yso.fi/onto/yso/p4190>	henkilöstö
<http://www.yso.fi/onto/yso/p4052>	toimielimet
<http://www.yso.fi/onto/yso/p20240>	fenomenografia
