<http://www.yso.fi/onto/yso/p25359>	prosopografia
<http://www.yso.fi/onto/yso/p7586>	sosiaalihistoria
<http://www.yso.fi/onto/yso/p4544>	mikrohistoria
<http://www.yso.fi/onto/yso/p3726>	kasvattilapset
<http://www.yso.fi/onto/yso/p3282>	köyhäinhoito
<http://www.yso.fi/onto/yso/p13777>	maaseutu
<http://www.yso.fi/onto/yso/p3835>	yhteisöt
<http://www.yso.fi/onto/yso/p2790>	avioliitto
<http://www.yso.fi/onto/yso/p19018>	kummit
<http://www.yso.fi/onto/yso/p107734>	Korpilahti
<http://www.yso.fi/onto/yso/p94173>	Jyväskylä
<http://www.yso.fi/onto/yso/p94207>	Keski-Suomi
