<http://www.yso.fi/onto/yso/p11405>	lukutaito
<http://www.yso.fi/onto/yso/p11408>	kirjoitustaito
<http://www.yso.fi/onto/yso/p26824>	lukutaidottomuus
<http://www.yso.fi/onto/yso/p11406>	lukeminen (toiminta)
<http://www.yso.fi/onto/yso/p2512>	kirjoittaminen
<http://www.yso.fi/onto/yso/p5797>	kielitaito
<http://www.yso.fi/onto/yso/p17782>	suullinen kielitaito
<http://www.yso.fi/onto/yso/p17005>	toinen kieli
<http://www.yso.fi/onto/yso/p24613>	suomi toisena kielenä
<http://www.yso.fi/onto/yso/p8856>	suomen kieli
<http://www.yso.fi/onto/yso/p2945>	oppiminen
<http://www.yso.fi/onto/yso/p24061>	kielen oppiminen
<http://www.yso.fi/onto/yso/p6262>	elinikäinen oppiminen
<http://www.yso.fi/onto/yso/p6332>	oppimiskäsitykset
<http://www.yso.fi/onto/yso/p4835>	oppimisympäristö
<http://www.yso.fi/onto/yso/p1028>	oppilaitokset
<http://www.yso.fi/onto/yso/p2123>	kehitys
<http://www.yso.fi/onto/yso/p5590>	aikuiset
<http://www.yso.fi/onto/yso/p6165>	maahanmuuttajat
<http://www.yso.fi/onto/yso/p10591>	vuorovaikutus
<http://www.yso.fi/onto/yso/p10590>	sosiaalinen vuorovaikutus
