<http://www.yso.fi/onto/yso/p1780>	historia
<http://www.yso.fi/onto/yso/p18452>	kulttuurihistoria
<http://www.yso.fi/onto/yso/p27904>	maaseutuyhteisöt
<http://www.yso.fi/onto/yso/p7555>	maatalousyhteiskunta
<http://www.yso.fi/onto/yso/p10997>	paikallisyhteisöt
<http://www.yso.fi/onto/yso/p13042>	julkinen valta
<http://www.yso.fi/onto/yso/p2552>	vallankäyttö
<http://www.yso.fi/onto/yso/p7138>	normit
<http://www.yso.fi/onto/yso/p10012>	pakotteet
<http://www.yso.fi/onto/yso/p341>	tapaoikeus
<http://www.yso.fi/onto/yso/p7135>	sosiaaliset normit
<http://www.yso.fi/onto/yso/p5131>	rakkaus
<http://www.yso.fi/onto/yso/p9000>	ystävyys
<http://www.yso.fi/onto/yso/p3485>	tunteet
<http://www.yso.fi/onto/yso/p25039>	kiintymyssuhde
<http://www.yso.fi/onto/yso/p6936>	ihmissuhteet
<http://www.yso.fi/onto/yso/p5898>	rakkaussuhde
<http://www.yso.fi/onto/yso/p3209>	kokemukset
<http://www.yso.fi/onto/yso/p2790>	avioliitto
<http://www.yso.fi/onto/yso/p16991>	naiset
<http://www.yso.fi/onto/yso/p8173>	miehet
<http://www.yso.fi/onto/yso/p928>	sukupuoliroolit
<http://www.yso.fi/onto/yso/p6365>	naisen asema
<http://www.yso.fi/onto/yso/p6362>	miehen asema
<http://www.yso.fi/onto/yso/p1826>	seksuaalisuus
<http://www.yso.fi/onto/yso/p4006>	ruumiillisuus
<http://www.yso.fi/onto/yso/p94426>	Suomi
