<http://www.yso.fi/onto/yso/p26033>	journalistiikka
<http://www.yso.fi/onto/yso/p21539>	viestintätutkimus
<http://www.yso.fi/onto/yso/p2421>	sanomalehdet
<http://www.yso.fi/onto/yso/p11848>	puoluelehdet
<http://www.yso.fi/onto/yso/p10202>	sitoutumattomat lehdet
<http://www.yso.fi/onto/yso/p10672>	riippumattomuus
<http://www.yso.fi/onto/yso/p7298>	poliittisuus
<http://www.yso.fi/onto/yso/p8418>	mielipiteet
<http://www.yso.fi/onto/yso/p9840>	kaupallisuus
<http://www.yso.fi/onto/yso/p9839>	kaupallistuminen
<http://www.yso.fi/onto/yso/p20005>	pääkirjoitukset
<http://www.yso.fi/onto/yso/p20342>	kolumnit
<http://www.yso.fi/onto/yso/p9540>	tekstilajit
<http://www.yso.fi/onto/yso/p12814>	argumentointi
<http://www.yso.fi/onto/yso/p15085>	asiantuntijuus
