<http://www.yso.fi/onto/yso/p4742>	lastenkirjallisuus
<http://www.yso.fi/onto/yso/p11808>	kuvakirjat
<http://www.yso.fi/onto/yso/p2738>	kuvitus
<http://www.yso.fi/onto/yso/p4440>	kauhu
<http://www.yso.fi/onto/yso/p14359>	pahuus
<http://www.yso.fi/onto/yso/p5196>	estetiikka
<http://www.yso.fi/onto/yso/p3603>	semiotiikka
<http://www.yso.fi/onto/yso/p4804>	lastenkulttuuri
<http://www.yso.fi/onto/yso/p7829>	diskurssianalyysi
<http://www.yso.fi/onto/yso/p23622>	karnevalismi
<http://www.yso.fi/onto/yso/p476>	kasvatus
