<http://www.yso.fi/onto/yso/p23848>	pedagoginen ajattelu
<http://www.yso.fi/onto/yso/p1117>	opettajat
<http://www.yso.fi/onto/yso/p6007>	ajattelu
<http://www.yso.fi/onto/yso/p1584>	pedagogiikka
<http://www.yso.fi/onto/yso/p1912>	ohjaus (taide)
<http://www.yso.fi/onto/yso/p178>	ohjaus (neuvominen)
<http://www.yso.fi/onto/yso/p1911>	ohjaus (suuntaaminen)
<http://www.yso.fi/onto/yso/p13158>	ammatillinen kehitys
<http://www.yso.fi/onto/yso/p1912>	ohjaus (taide)
<http://www.yso.fi/onto/yso/p178>	ohjaus (neuvominen)
<http://www.yso.fi/onto/yso/p1911>	ohjaus (suuntaaminen)
