<http://www.yso.fi/onto/yso/p15607>	museologia
<http://www.yso.fi/onto/yso/p21450>	heritologia
<http://www.yso.fi/onto/yso/p8144>	taidemuseot
<http://www.yso.fi/onto/yso/p28570>	kokoelmapolitiikka
<http://www.yso.fi/onto/yso/p55>	kokoelmatyö
<http://www.yso.fi/onto/yso/p778>	taideteokset
<http://www.yso.fi/onto/yso/p7413>	arviointi
<http://www.yso.fi/onto/yso/p13012>	poisto (muuttaminen)
<http://www.yso.fi/onto/yso/p14003>	arvokeskustelu
<http://www.yso.fi/onto/yso/p12777>	hiljainen tieto
<http://www.yso.fi/onto/yso/p19845>	taidehistoria
