<http://www.yso.fi/onto/yso/p7493>	kulttuurintutkimus
<http://www.yso.fi/onto/yso/p15592>	mediakulttuuri
<http://www.yso.fi/onto/yso/p14740>	teatterikritiikki
<http://www.yso.fi/onto/yso/p18617>	kulttuuritoimittajat
<http://www.yso.fi/onto/yso/p19705>	kulttuurijournalismi
<http://www.yso.fi/onto/yso/p1065>	lähiluku
<http://www.yso.fi/onto/yso/p11917>	poikkitieteisyys
<http://www.yso.fi/onto/yso/p10982>	tapaustutkimus
<http://www.yso.fi/onto/yso/p14741>	teatteriarvostelut
<http://www.yso.fi/onto/yso/p2421>	sanomalehdet
<http://www.yso.fi/onto/yso/p856>	joukkoviestimet
<http://www.yso.fi/onto/yso/p13344>	arvostelijat
<http://www.yso.fi/onto/yso/p4899>	professiot
<http://www.yso.fi/onto/yso/p2551>	valta
<http://www.yso.fi/onto/yso/p18350>	hegemonia
<http://www.yso.fi/onto/yso/p277>	muutos
<http://www.yso.fi/onto/yso/p3018>	paradigmat
