<http://www.yso.fi/onto/yso/p15803>	feministinen kirjallisuudentutkimus
<http://www.yso.fi/onto/yso/p932>	kansalliseepokset
<http://www.yso.fi/onto/yso/p15374>	henkilökuvaus
<http://www.yso.fi/onto/yso/p11173>	naiskuva
<http://www.yso.fi/onto/yso/p928>	sukupuoliroolit
<http://www.yso.fi/onto/yso/p10977>	metamorfoosi (taide)
<http://www.yso.fi/onto/yso/p4511>	tulkinta
<http://www.yso.fi/onto/yso/p26448>	sukupuolentutkimus
<http://www.yso.fi/onto/yso/p28278>	posthumanismi
<http://www.yso.fi/onto/yso/p10164>	narratiivisuus
<http://www.yso.fi/onto/yso/p929>	naiseus
<http://www.yso.fi/onto/yso/p22794>	itse
<http://www.yso.fi/onto/yso/p22861>	feministinen filosofia
