<http://www.yso.fi/onto/yso/p8303>	aikuistyypin diabetes
<http://www.yso.fi/onto/yso/p8357>	potilaat
<http://www.yso.fi/onto/yso/p19265>	itsehoito
<http://www.yso.fi/onto/yso/p1912>	ohjaus (taide)
<http://www.yso.fi/onto/yso/p178>	ohjaus (neuvominen)
<http://www.yso.fi/onto/yso/p1911>	ohjaus (suuntaaminen)
<http://www.yso.fi/onto/yso/p7094>	terveysneuvonta
<http://www.yso.fi/onto/yso/p11100>	terveyskäyttäytyminen
<http://www.yso.fi/onto/yso/p5748>	ravitsemus
<http://www.yso.fi/onto/yso/p10851>	lääkehoito
<http://www.yso.fi/onto/yso/p8343>	osaaminen
<http://www.yso.fi/onto/yso/p3802>	kirjaaminen
<http://www.yso.fi/onto/yso/p14073>	perusterveydenhuolto
<http://www.yso.fi/onto/yso/p1300>	potilasasiakirjat
