<http://www.yso.fi/onto/yso/p84>	koulutus
<http://www.yso.fi/onto/yso/p17817>	diskurssi
<http://www.yso.fi/onto/yso/p2399>	tasa-arvo
<http://www.yso.fi/onto/yso/p11215>	koululaitos
<http://www.yso.fi/onto/yso/p19327>	perusopetus
<http://www.yso.fi/onto/yso/p2518>	peruskoulu
<http://www.yso.fi/onto/yso/p9264>	tuntijako
<http://www.yso.fi/onto/yso/p5140>	opetussuunnitelmat
<http://www.yso.fi/onto/yso/p249>	koulutuspolitiikka
<http://www.yso.fi/onto/yso/p21754>	koulutusmahdollisuudet
<http://www.yso.fi/onto/yso/p248>	koulutusjärjestelmät
<http://www.yso.fi/onto/yso/p94426>	Suomi
