<http://www.yso.fi/onto/yso/p17789>	taloushistoria
<http://www.yso.fi/onto/yso/p1688>	kaupungit
<http://www.yso.fi/onto/yso/p4901>	teollistuminen
<http://www.yso.fi/onto/yso/p9777>	teollinen yhteiskunta
<http://www.yso.fi/onto/yso/p2554>	rahatalous
<http://www.yso.fi/onto/yso/p7301>	rakennemuutos
<http://www.yso.fi/onto/yso/p10577>	luottomarkkinat
<http://www.yso.fi/onto/yso/p6830>	konkurssi
<http://www.yso.fi/onto/yso/p4821>	konkurssilaki
<http://www.yso.fi/onto/yso/p1849>	maksukyvyttömyys
<http://www.yso.fi/onto/yso/p5291>	sukupuoli
<http://www.yso.fi/onto/yso/p8562>	kotitaloudet (organisaatiot)
<http://www.yso.fi/onto/yso/p3902>	omaisuus
<http://www.yso.fi/onto/yso/p94137>	Helsinki
<http://www.yso.fi/onto/yso/p94466>	Vaasa
<http://www.yso.fi/onto/yso/p94173>	Jyväskylä
<http://www.yso.fi/onto/yso/p94227>	Kristiinankaupunki
<http://www.yso.fi/onto/yso/p94436>	Tampere
<http://www.yso.fi/onto/yso/p94426>	Suomi
