<http://www.yso.fi/onto/yso/p5483>	junat
<http://www.yso.fi/onto/yso/p8693>	sotapäiväkirjat
<http://www.yso.fi/onto/yso/p8111>	muistelmat
<http://www.yso.fi/onto/yso/p2343>	kuormaus
<http://www.yso.fi/onto/yso/p5943>	jatkosota
<http://www.yso.fi/onto/yso/p16082>	ratapihat
<http://www.yso.fi/onto/yso/p10323>	pommitukset
<http://www.yso.fi/onto/yso/p8438>	siirtoväki
<http://www.yso.fi/onto/yso/p12530>	joukot
<http://www.yso.fi/onto/yso/p1359>	asemat
<http://www.yso.fi/onto/yso/p8436>	evakuointi
<http://www.yso.fi/onto/yso/p2336>	arkistot
<http://www.yso.fi/onto/yso/p17061>	rautatiet
<http://www.yso.fi/onto/yso/p693>	kuljetusvälineet
