<http://www.yso.fi/onto/yso/p1361>	kansanrunous
<http://www.yso.fi/onto/yso/p2475>	keltit
<http://www.yso.fi/onto/yso/p15564>	sadut
<http://www.yso.fi/onto/yso/p18816>	kymrin kieli
<http://www.yso.fi/onto/yso/p798>	kansanusko
<http://www.yso.fi/onto/yso/p1362>	kansanperinne
<http://www.yso.fi/onto/yso/p3505>	kansankertomukset
<http://www.yso.fi/onto/yso/p4410>	brittiläisyys
<http://www.yso.fi/onto/yso/p7686>	kansantarinat
<http://www.yso.fi/onto/yso/p1248>	myytit
<http://www.yso.fi/onto/yso/p6088>	uskomukset
<http://www.yso.fi/onto/yso/p17103>	kirjallisuudenhistoria
<http://www.yso.fi/onto/yso/p7687>	mytologia
<http://www.yso.fi/onto/yso/p4989>	legendat
